TranslatedRecipeName,TranslatedIngredients
Chettinad Dry Pepper Chicken Recipe,"1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander Powder (Dhania),Water - as required,2 sprig Curry leaves,1 Tomato,Salt - to taste,Coriander (Dhania) Leaves - for garnish,1 teaspoon Cumin powder (Jeera) - roasted,2-1/2 tablespoon Black pepper powder,1 teaspoon Fennel Powder - roasted,500 grams Chicken - (chicken with bones gives better taste),1 tablespoon Ginger Garlic Paste,1 Onion,Sunflower Oil - as required"
Green Chilli Chicken Fry Recipe - Green Chilli Chicken Fry Recipe," Salt - as per taste,500 grams of chicken - cut it, 2 inch ginger, 2 onions, 1 tbsp coriander powder, water - as per use, 7 cloves garlic, 18 green chillies - can also reduce, 1 inch cinnamon, 4 long, 2 tablespoons green coriander, 2 tsp oil, 3 tomatoes, 1/2 lemon"
Goan Chicken Vindaloo Recipe,"1/2 teaspoon Salt - or to taste,1/2 tablespoon Mustard seeds,2 Onions - chopped,1 teaspoon Jaggery,1 Tomato - chopped,Salt - to taste,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Tamarind - washed and soaked in hot water.,1/2 inch Ginger,1/2 tablespoon Black pepper corns,2 Green Chillies - chopped,1 tablespoon Sunflower Oil,5 Kashmiri dry red chilli,3 Cloves (Laung),8 cloves Garlic,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander (Dhania) Seeds,Coriander (Dhania) Leaves - as required,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),4 tablespoon Vinegar,500 grams Chicken - cut into curry cut pieces,1 teaspoon Sunflower Oil,1/4 cup Homemade tomato puree"
Tomato Basil Chicken Recipe,"1/4 cup Basil leaves - fresh leaves,2 teaspoons Extra Virgin Olive Oil,2 teaspoons Mixed Herbs (Dried),1 tablespoon Mixed Herbs (Dried),2 Chicken breasts,10 cloves Garlic - finely chopped,Salt - to taste,Sugar - to taste,1 sprig Basil leaves - finely chopped,1 teaspoon Red Chilli powder,2 tablespoons Extra Virgin Olive Oil,1 Onion - finely chopped,3 cups Homemade tomato puree,3 tablespoons Lemon juice"
Andhra Style Chicken Fry Recipe,"1 tablespoon Garam masala powder,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Black pepper powder,1/2 tablespoon Coriander Powder (Dhania) - coarsely grounded,2 sprig Curry leaves,Sunflower Oil - or ghee as required,Salt - to taste,1/2 cup Hung Curd (Greek Yogurt),1 Chicken breasts - cubed,1 teaspoon Red Chilli powder,1/2 tablespoon Ginger Garlic Paste,1 Onion - chopped,3 Green Chillies - chopped,1 teaspoon Fennel seeds (Saunf),2 Tomatoes - cubed,1/2 tablespoon Kashmiri Red Chilli Powder"
Mexican Salsa Chicken With Italian Cream Cheese Recipe,"Salt - to taste,1/2 teaspoon Garlic - minced,1 teaspoon Lemon juice,1 teaspoon Rock Salt,1 Onion - chopped,1 cup Penne pasta - optional,1 Pickled Jalapenos - deseeded,250 gram Britannia Cream Cheese,1/2 cup Coriander (Dhania) Leaves,200 grams Boneless chicken,100 grams Butter,3/4 cup Milk,1 cloves Garlic - chopped,1/2 teaspoon Sugar,4 Tomatoes - chopped,50 grams Mozzarella cheese,1 teaspoon Black pepper powder"
Chicken Chilli Cheese Quesadillas Recipe,"1 Onion - sliced,Salt - as required,6 Tortillas,1 tablespoon Chipotle sauce,1 teaspoon Butter,1 teaspoon Lemon juice,2 teaspoons Roasted tomato pasta sauce,1 cup Cheddar cheese - shredded,1/2 teaspoon Black pepper powder - crushed,250 grams Boneless chicken,1/2 cup Sweet corn,1 Green Bell Pepper (Capsicum) - sliced"
Kachi Tikya Recipe  - Chicken In Tomato Gravy With Potatoes,"4 Tomatoes - finely chopped,1 kg Chicken - minced,2 tablespoon Red Chilli powder - adjustable,4 Potatoes (Aloo),1 teaspoon Garam masala powder,1 tablespoon Cumin seeds (Jeera),1 Whole Egg,2 Onion - finely chopped,10 Green Chillies,1/2 cup Sunflower Oil,Salt - as per taste,1/4 teaspoon Mace powder,1 tablespoon Ginger Garlic Paste,3 tablespoon Coriander (Dhania) Leaves,2 tablespoon Cumin powder (Jeera)"
Kashmiri Style Yakhni Pulao With Chicken Recipe,"1/2 Tomato - chopped,1/2 teaspoon Cloves (Laung),2 Black cardamom (Badi Elaichi),1 teaspoon Coriander (Dhania) Seeds,1/2 cup Curd (Dahi / Yogurt),1 Mace (Javitri),3 cups Water,1-1/2 teaspoon Fennel seeds (Saunf) - ground,1 Onion - thinly sliced,2 inch Ginger,1/2 teaspoon Whole Black Peppercorns,1 teaspoon Garam masala powder,2 Cardamom (Elaichi) Pods/Seeds,Salt - as required,1/2 teaspoon Coriander Powder (Dhania),1-1/2 teaspoons Ginger Garlic Paste,2 inch Cinnamon Stick (Dalchini),1/2 teaspoon Red Chilli powder,1 teaspoon Cumin seeds (Jeera),1 pinch Nutmeg powder,2 cups Basmati rice - soaked in water for at least half an hour,500 grams Chicken - cut into pieces,1 Bay leaf (tej patta),1/2 Onion - cut in two pieces,6 cloves Garlic"
Garfield's Lasagna Recipe With Minced Meat And Italian Spices,"150 grams Parmesan cheese - grated,1 tablespoon Garlic - crushed,1/4 teaspoon Black pepper powder,200 grams Mozzarella cheese - shredded,Salt - to taste,1/2 kg Chicken - minced or mutton,200 grams Button mushrooms - quartered and lightly sautéed,2 Onions - chopped fine,9 Lasagna sheets,1 teaspoon Mixed Herbs (Dried),4 sprig Basil leaves,4 tablespoons Homemade Pizza And Pasta Sauce,200 ml Extra Virgin Olive Oil,4 Tomatoes - pureed or from a can,2 Whole Eggs,3 Brinjal (Baingan / Eggplant),1 teaspoon Dried oregano"
Grilled Chicken With Vegetables Recipe,"1 Onion - sliced,1 tablespoon Extra Virgin Olive Oil,4 Broccoli - florets,6 Cherry tomatoes,Salt - to taste,4 Garlic - pounded,1 Red Bell pepper (Capsicum) - chopped,1 Green Bell Pepper (Capsicum) - chopped,1 teaspoon Whole Black Peppercorns - crushed,1-1/2 teaspoon Mixed Herbs (Dried),4 Baby corn,250 grams Chicken breasts,1-1/2 teaspoon Dried basil leaves,1-1/2 teaspoon Red Chilli flakes,Ginger Garlic Paste - as required,1-1/2 tablespoon Extra Virgin Olive Oil"
Ambur Star Chicken Biryani Recipe,"3 teaspoons Red Chilli powder,3 Onions - sliced,Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,1 clove Cloves (Laung),4 cloves Garlic - finely chopped,4 tablespoons Sunflower Oil,1 Cinnamon Stick (Dalchini),1/4 cup Mint Leaves (Pudina) - roughly torn,2 inch Ginger - finely chopped,1 tablespoon Ghee,1 Bay leaf (tej patta),500 grams Seeraga (Jeeraga) Samba rice - washed and soaked,500 grams Chicken - cleaned and washed,2 Tomatoes - chopped,2 teaspoons Coriander Powder (Dhania),1 Star anise,3 tablespoons Curd (Dahi / Yogurt)"
Kerala Chicken Roast Recipe,"1 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Fennel Powder,2 sprig Curry leaves,Salt - to taste,1 teaspoon Garam masala powder,1 teaspoon Lemon juice,1 tablespoon Ginger - finely chopped,500 grams Chicken,2-1/2 teaspoons Coriander Powder (Dhania),3 Onions - thinly sliced,1-1/2 teaspoons Kashmiri Red Chilli Powder,1/4 teaspoon Turmeric powder (Haldi),3 Tomatoes - thinly sliced,2 tablespoons Coconut Oil - as required,1 tablespoon Garlic - finely chopped"
Tamil Nadu Style Chicken Salna Recipe,"1 tablespoon Garam masala powder,1/2 teaspoon Turmeric powder (Haldi),Sunflower Oil,1/4 cup Fresh coconut,1 inch Ginger - chopped,Salt - to taste,1 inch Cinnamon Stick (Dalchini),4 Cloves (Laung),2 teaspoon Fennel seeds (Saunf),500 grams Chicken - boneless or with bone,2 Onion - chopped,2 Tomatoes - chopped,4 cloves Garlic - chopped,2 teaspoon Red Chilli powder,1 Star anise,1 sprig Curry leaves,1 teaspoon Whole Black Peppercorns"
Chicken Keema Paratha Recipe - Minced Chicken Flat Bread,"Ghee - for cooking,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,1/2 teaspoon Amchur (Dry Mango Powder),1 Tomato - finely chopped,Salt - to taste,4 cloves Garlic - finely chopped,1 teaspoon Coriander Powder (Dhania),1/4 cup Mint Leaves (Pudina) - chopped,2 Green Chillies - finely chopped,1 Onion - finely chopped,1 Chicken breasts - roughly chopped,1 tablespoon Sunflower Oil,2 cups Whole Wheat Flour,1 teaspoon Sunflower Oil,1/2 teaspoon Red Chilli powder,1 teaspoon Salt"
Chicken And Shrimp Bánh Xèo Recipe  -Vietnamese Stuffed Crepe,"1 teaspoon Cumin powder (Jeera),Chilled water - as required,1 teaspoon Lemon juice,1 teaspoon Red Chilli powder,1 tablespoon Extra Virgin Olive Oil,2 teaspoons Ginger Garlic Paste,Salt - to taste,1 teaspoon Garam masala powder,1 cup Rice flour,1/2 teaspoon Sugar,3 tablespoons Roasted tomato pasta sauce,1 tablespoon Lemon juice,2-3 tablespoons Sunflower Oil,150 gram Shrimps - peeled and deveined,1/2 teaspoon Black pepper powder - freshly ground,1 cup Coriander (Dhania) Leaves - chopped,1 teaspoon Extra Virgin Olive Oil,1 Green Bell Pepper (Capsicum) - julienned,1 Carrots (Gajjar) - julienned,1/2 teaspoon Turmeric powder (Haldi),1 Cucumber - julienned,1/2 teaspoon Salt,300 gram Chicken breasts - cut into the pieces,1 Onion - julienned,1 cup Coconut milk"
Kadai Chicken Recipe - Chicken Cooked With Onion And Capsicum,"1 Onion - sliced,1 Onion - diced,Sunflower Oil,1 Green Bell Pepper (Capsicum) - diced,2 Dry Red Chilli,1 inch Ginger - chopped,1 cup Homemade tomato puree,1 teaspoon Cumin seeds (Jeera),300 grams Chicken breasts - cut into chunks,2 teaspoon Garam masala powder,Salt - to taste,2 sprig Coriander (Dhania) Leaves - chopped,1 tablespoon Fresh cream,1/4 teaspoon Turmeric powder (Haldi),4 cloves Garlic - chopped,2 teaspoons Red Chilli powder"
Chicken Manchurian Dry Recipe,"8 cloves Garlic - finely chopped,1 Onion - sliced,1 tablespoon Brown Sugar (Demerara Sugar),Sunflower Oil - as required to deep fry,Salt - to taste,2 Spring Onion Greens - finely chopped,1 Whole Egg,2 tablespoons Sesame (Gingelly) Oil,1 tablespoon Tomato Ketchup,2 inch Ginger - finely chopped,400 grams Chicken breasts - boneless,1 tablespoon Corn flour,1 tablespoon Vinegar,2 tablespoons Soy sauce,1 tablespoon Red Chilli sauce,2 Green Chillies - sliced"
Lebanese Style Shish Tawook Recipe - Grilled Chicken Skewers,"1 teaspoon Black pepper powder - ground,1-1/2 tablespoons Paprika powder,1/4 cup Hung Curd (Greek Yogurt),4 cloves Garlic - minced,1 tablespoon Dried oregano,2 tablespoon Extra Virgin Olive Oil,Salt - to taste,500 grams Boneless chicken,1 teaspoon Ginger - grated,1 Lemon juice,1 Onion - as required,1 teaspoon Tomato Ketchup,1 Green Bell Pepper (Capsicum) - as required,1 teaspoon Dried Thyme Leaves"
Chicken Burrito Recipe,"1/2 Red Bell pepper (Capsicum),1 tablespoon Paprika powder,1 tablespoon Dried Thyme Leaves,1 Onion - chopped,1/2 Green Bell Pepper (Capsicum),1/2 Yellow Bell Pepper (Capsicum),300 grams Chicken - cut into stripes,1/2 cup Rajma (Large Kidney Beans) - soaked and boiled,2 teaspoon Paprika powder,1 Tomato - chopped,1/2 teaspoon Cinnamon Powder (Dalchini),1 tablespoon Red Chilli powder,Salt - to taste,2 Tortillas,1 cup Sour cream,4 cloves Garlic - chopped,1 Onion - sliced,1 inch Ginger - chopped,1/4 cup Cheese - grated,1/4 cup Cooked rice,1 teaspoon Sugar,1/2 teaspoon Turmeric powder (Haldi),1 cup Tomato Salsa,1 tablespoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1/2 Onion"
Posto Chicken Recipe - Bengali Chicken In Poppy Seed Paste,"750 grams Chicken - cut into small pieces.,1 Tomato - finely chopped,1 teaspoon Red Chilli powder,1 teaspoon Mustard oil,1/4 teaspoon Turmeric powder (Haldi),2 teaspoon Ginger - paste,4 tablespoons Mustard oil,Salt - to taste,4 Green Chillies,1 tablespoon Lemon juice,6 tablespoon Poppy seeds - soaked in 1/2 cup in water,2 Onion - finely chopped,2 teaspoon Garlic - paste,1 inch Ginger - peeled,4 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1/2 teaspoon Garam masala powder,1 teaspoon Fennel seeds (Saunf),1 Bay leaf (tej patta),4 Cloves (Laung),6 cloves Garlic"
Bhut Jolokia Murgh Recipe,"1-1/2 teaspoons Turmeric powder (Haldi),1 teaspoon Kashmiri Red Chilli Powder,1 tablespoon Coriander Powder (Dhania),1 inch Ginger - chopped,Salt - to taste,1 Ghost chilli peppers (bhut jolokia) - soaked in 1/2 cup water,2 teaspoons Garam masala powder,3 tablespoons Homemade tomato puree,2 tablespoons Coriander (Dhania) Leaves - chopped,500 grams Chicken - cut into medium pieces,2 tablespoons Ghee,1 tablespoon Ghee,2 Onion - sliced and fried,4 cloves Garlic - chopped,2 teaspoons Cumin powder (Jeera)"
Chicken Tomato Macaroni Recipe- Pasta with Indian Masalas,"2 Green Chillies,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Garam masala powder,1 Onion - finely chopped,100 grams Tomato - paste,1 teaspoon Fennel seeds (Saunf),5-8 Green Chillies - finely chopped,Sunflower Oil - to cook,1 tablespoon Ginger Garlic Paste,750 grams Chicken - cut into small pieces,2 tablespoons Sunflower Oil,8 Dry Red Chillies,400 grams Macaroni pasta,1 tablespoon Coriander (Dhania) Leaves - chopped"
Chicken Taquitos Recipe - A Classic Mexican Appetizer,"1 teaspoon Sugar,Salt - salt to taste,1/3 cup Onions - finely chopped,4 Tomatoes,2 teaspoons Tabasco Original - Hot Sauce,1 tablespoon Extra Virgin Olive Oil,Salt - to taste,300 grams Chicken breasts - cut into small strips,1/2 cup Cheddar cheese - grated,3/4 cup All Purpose Flour (Maida),Coriander (Dhania) Leaves - a small bunch finely chopped,1 cup Makki Ka Atta (Yellow Corn Meal Flour),1 Green Chillies - finely chopped,6 cloves Garlic - chopped,2 tablespoons Taco seasoning,1/4 teaspoon Cumin powder (Jeera),Water - water as required,1/4 cup Homemade tomato puree"
Chicken In Tomato Onion Gravy Recipe,"2 Green Chillies,2 teaspoons Ginger Garlic Paste,3 Tomatoes - deseeded,1/2 Lemon - juiced,1 tablespoon Chicken masala,Salt - to taste,Coriander (Dhania) Leaves - chopped,2 Onions - roughly chopped,500 grams Chicken - chopped to bite size,Sunflower Oil - to cook,1 tablespoon Curd (Dahi / Yogurt)"
Chicken Mapas Recipe - Chicken in Coconut Milk Curry,"Curry leaves - handful,1 inch Ginger - crushed,1/2 teaspoon Turmeric powder (Haldi),2 cups Coconut milk,Salt - to taste,1 teaspoon Red Chilli powder,2 Green Chillies - slit,2 Onions - sliced,1/2 teaspoon Garam masala powder,2 teaspoon Coriander Powder (Dhania),5 cloves Garlic - crushed,2 teaspoon Coconut Oil,500 grams Chicken - cut to bite size,1 Tomato - chopped"
Chicken Tariwala Recipe - Punjabi Murgh Tariwala Recipe,"1 teaspoon Cumin powder (Jeera),1 teaspoon Lemon juice,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 Cloves (Laung),1 teaspoon Garam masala powder,Salt - to taste,2 Onions - roughly chopped,1/2 cup Homemade tomato puree,1 inch Ginger - roughly chopped,1/2 inch Cinnamon Stick (Dalchini) - ½ inch cinnamon,1 tablespoon Sunflower Oil,2 Green Chillies - roughly chopped,1 Black cardamom (Badi Elaichi),2 tablespoons Curd (Dahi / Yogurt),1/2 teaspoon Turmeric powder (Haldi),5 cloves Garlic,1/2 teaspoon Red Chilli Paste,1 Bay leaf (tej patta),1 Star anise,300 grams Chicken - small curry cut pieces"
Murg Anardana Recipe - Pomegranate Chicken In Yogurt Gravy,"1 tablespoon Red Chilli powder,1/2 tablespoon Khuskhus - ground to paste,4 tablespoons Cashew nuts - ground to paste (we need 3 tablespoons of paste),3 Onion - chopped,1 teaspoon Cumin powder (Jeera),Salt - to taste,1 teaspoon Garam masala powder,4 tablespoons Homemade tomato puree,1 tablespoon Ginger Garlic Paste - ginger garlic paste 1 tbsp,1 kg Boneless chicken - cut to bite size,1 tablespoon Ghee,2 tablespoons Sunflower Oil,1 cup Fresh Pomegranate Fruit Kernels - blended,3 tablespoons Fresh cream,3 tablespoons Curd (Dahi / Yogurt)"
Chicken Pasanda Recipe,"1 teaspoon Turmeric powder (Haldi),500 grams Chicken breasts,2 teaspoons Sunflower Oil,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),1 Cardamom (Elaichi) Pods/Seeds,4 cloves Garlic - finely chopped,2 Onions - sliced,2 Dry Red Chillies,1 teaspoon Coriander (Dhania) Seeds,1 Bay leaf (tej patta),1/2 cup Curd (Dahi / Yogurt),2 Tomatoes - chopped,Salt - as per taste,1 inch Ginger - finely chopped,1 teaspoon Whole Black Peppercorns"
Konaseema Kodi Kura Recipe - Andhra Style Chicken Curry,"2 Green Chillies,2 Dry Red Chilli,1 cup Homemade tomato puree,1 Tablespoon Ginger Garlic Paste,3 tablespoon Raw Peanuts (Moongphali),2 teaspoon Poppy seeds,Salt - to taste,1 teaspoon Red Chilli powder,1/2 teaspoon Garam masala powder,1/4 cup Coconut milk,1-1/2 teaspoon Cumin powder (Jeera),4 Curry leaves,2 Onion - chopped,1-1/2 teaspoon Coriander Powder (Dhania),Sunflower Oil - as required,1/2 Kg Chicken - washed & cleaned,Coriander (Dhania) Leaves - few (chopped)"
Kongunadu Chicken Curry Recipe,"1/2 teaspoon Turmeric powder (Haldi),2 tablespoon Fresh coconut,1 teaspoon Poppy seeds,1 teaspoon Ginger Garlic Paste,1/2 teaspoon Fennel seeds (Saunf),1 inch Cinnamon Stick (Dalchini),Salt - to taste,1 teaspoon Cumin seeds (Jeera),3 Dry Red Chillies,1 teaspoon Red Chilli powder,1 Onion - chopped,2 tablespoon Coriander Powder (Dhania),200 grams Chicken breasts - cut into small pieces,1 teaspoon Fennel seeds (Saunf),2 Tomatoes - chopped,1 Lemon juice,2 Cloves (Laung),4 cloves Garlic - chopped,Sunflower Oil,1 teaspoon Whole Black Peppercorns"
Murgh Palak Recipe - Chicken In A Palak Gravy,"2 Green Chillies,1 teaspoon Red Chilli powder,Salt - a pinch,1 Onion - chopped,1 teaspoon Coriander Powder (Dhania),1 tablespoon Ghee,2 cups Water,1 Tomato - chopped,1 teaspoon Ginger Garlic Paste,Salt - to taste,3 Cardamom (Elaichi) Pods/Seeds,1/4 cup Fresh cream,500 grams Chicken - medium pieces with the bone,250 grams Spinach Leaves (Palak) - cleaned,4 cloves Garlic,1/2 inch Ginger,1 tablespoon Butter,1 tablespoon Sunflower Oil,1/4 teaspoon Methi Seeds (Fenugreek Seeds),2 tablespoons Curd (Dahi / Yogurt),1 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Turmeric powder (Haldi),1 cup Chilled water,1 inch Cinnamon Stick (Dalchini),5 cloves Garlic,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Garam masala powder,1 Bay leaf (tej patta)"
Japanese Style Chicken Katsu Curry Recipe,"Salt - salt to taste,1/2 tablespoon Cumin seeds (Jeera),1 teaspoon Nutmeg powder,300 grams Chicken breasts - cut into cubes,2 tablespoons All Purpose Flour (Maida),1 Star anise,2 Cardamom (Elaichi) Pods/Seeds,2 Onions - sliced,1/2 cup Apple - cut into thin strips,1 teaspoon Ginger,2 Cloves (Laung),2 tablespoon Tomato Ketchup,2 Potatoes (Aloo) - boiled,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander (Dhania) Seeds,3 Dry Red Chillies,1 inch Cinnamon Stick (Dalchini),1 Carrot (Gajjar) - cut into cubes,2 teaspoons Garlic,1 teaspoon Honey,1 teaspoon Fennel seeds (Saunf),1 cup Water,6 Black pepper corns,1 teaspoon Sunflower Oil,2 tablespoons Butter,1 teaspoon Black pepper powder,1/8 teaspoon Methi Seeds (Fenugreek Seeds)"
Kerala Chicken Curry Recipe - Nadan Kozhi Curry,"2 Green Chillies,2 tablespoon Red Chilli powder,1 tablespoon Coriander Powder (Dhania),Salt - as per your taste,1 teaspoon Garam masala powder,6 cloves Garlic - crushed or a coarse paste,2 teaspoons Red Chilli powder,1 tablespoon Fennel Powder,2 tablespoons Coconut Oil,1-1/2 teaspoons Salt,1 cup Coconut milk - thick,500 grams Chicken - curry-cut with bones,1 inch Ginger - crushed or a coarse paste,1 teaspoon Turmeric powder (Haldi),2 Onions - thinly sliced,1 Tomato - chopped,1 sprig Curry leaves"
Rosemary Chicken Rice Recipe With Spicy Tomato Garlic Sauce,"3/4 cup Homemade tomato puree,1 tablespoon Extra Virgin Olive Oil,1 Carrot (Gajjar) - grated,Salt - to taste,1 cup Rice,1 teaspoon Rosemary,8 Basil leaves - roughly torn,1 teaspoon Extra Virgin Olive Oil,1/2 teaspoon Sugar,2 tablespoons Fresh cream,150 grams Chicken breasts - cut into 1 inch cubes,1/2 teaspoon Paprika powder,1 teaspoon Tabasco Original - Hot Sauce,1 tablespoon Garlic - finely chopped,1 Onion - thinly sliced"
